"Class"	"Field"	"Label"	"Description"	"Reviewed"	"Source"	"SourceDetail"	"SourceHash"
"LexEntry"	"Bibliography"	"Bibliography"	"Bibliographic information"	"sourced"	"liblcm/MasterLCModel.xml"	"line 2592, <basic id=""Bibliography""> under <class id=""LexEntry"">"	"sha256:19cfcc8d6bb9040c7b12c9777b18a0a1fea3b6802eefd420ca131cea77ccf231"
"LexEntry"	"CitationForm"	"Citation Form"	"If this is missing, then this defaults to the lexicalForm but the user has the option of specifying a real citation form especially useful for bound roots."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2579, <basic id=""CitationForm""> under <class id=""LexEntry"">"	"sha256:235ec5bc1362c499e22725645331ce5afc124755b8839a530345b7dde58aeda9"
"LexEntry"	"Comment"	"Note"	"Free text field for notes about environment of a variant or any other note. (This used to be on LexVariant and LexMinorEntry.)"	"sourced"	"liblcm/MasterLCModel.xml"	"line 2622, <basic id=""Comment""> under <class id=""LexEntry"">"	"sha256:961143337c514975b283df6973d07084649abeec3269f05b8022b22253d9553f"
"LexEntry"	"DialectLabels"	"Dialect Labels (Entry)"	"This property lists dialects in which this entry is used."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2672, <rel id=""DialectLabels""> under <class id=""LexEntry"">"	"sha256:f3808629b1ab0868963ba1e6c9926d52d81edcb89e3662a4674176a2e8b2c868"
"LexEntry"	"DoNotPublishIn"	""	"This property lists publications in which this entry should not appear, either as a main entry or as any kind of link target. Currently the hiding (and consequent adjusting of homograph numbers etc) only takes place in Dictionary view."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2667, <rel id=""DoNotPublishIn""> under <class id=""LexEntry"">"	"sha256:14a555f3b4bebd5d1a0f4cdbccbb72a6e95ed753178f44b86f5435580426bce3"
"LexEntry"	"DoNotShowMainEntryIn"	""	"This property lists publications in which this main entry should not appear. Currently the hiding (and consequent adjusting of homograph numbers etc) only takes place in Dictionary view."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2632, <rel id=""DoNotShowMainEntryIn""> under <class id=""LexEntry"">"	"sha256:c933b4d4d88670029b00e4eaa234d771cdb85992654ac40429e0aa5e78ce22e6"
"LexEntry"	"DoNotUseForParsing"	""	"The user may initially add entries not knowing if they are highly regular/predictable. Once discovering that an entry is ""non-lexical"", the user may still want to retain for example sentences, conjugation charts, etc. This boolean specifies that the parser is not to use the morphs or MSA info in its parsing. Default = False."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2627, <basic id=""DoNotUseForParsing""> under <class id=""LexEntry"">"	"sha256:7f3076ce986237ebfcc4330a6dfaf816a04c32635aa5b8f470ff117238333181"
"LexEntry"	"LexemeForm"	"Lexeme Form"	"The lexeme form is the form of the entry that is normally used by linguists in interlinear text. The lexeme form is either the default allomorph for this lexEntry (e.g. French 'march' as opposed to citation form 'marcher') or the abstract underlying representation of it. (e.g. -[C][V]^2) When it is an abstract representation, the IsAbstract property is set. The lexeme form is equivalent to the base form in LinguaLinks or the \lx field in MDF files."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2637, <owning id=""LexemeForm""> under <class id=""LexEntry"">"	"sha256:baab7d18285dab7cb7518d6d5d6323cd1d5c0d044ae1f89a9771b54a8f163ddd"
"LexEntry"	"LiteralMeaning"	"Literal Meaning"	"This field is here for ease of use for the user. However, if the user fills out the components on the MSA of the subentry, the literal meaning can be derived. If Literal Meaning is empty and the components are filled in, the derived literal meaning should be displayed as virtual (in italics perhaps?) (It used to be on LexSubentry.)"	"sourced"	"liblcm/MasterLCModel.xml"	"line 2612, <basic id=""LiteralMeaning""> under <class id=""LexEntry"">"	"sha256:1d3df681570d692dc8df4f324509142473a12b78541f088fc6befcab3b8b017c"
"LexEntry"	"Restrictions"	"Restrictions"	"Only certain people can use the entry under certain circumstances"	"sourced"	"liblcm/MasterLCModel.xml"	"line 2602, <basic id=""Restrictions""> under <class id=""LexEntry"">"	"sha256:c171042e6a3eef9ea8be706af206bf59ec277e0b27b950911dba489bf81495d1"
"LexEntry"	"SummaryDefinition"	"Summary Definition"	"This is a short definition at an entry level. (It used to be on LexMajorEntry.)"	"sourced"	"liblcm/MasterLCModel.xml"	"line 2607, <basic id=""SummaryDefinition""> under <class id=""LexEntry"">"	"sha256:becbe376cdd846969a39808ad5ea2ffd789051884c3e4d0dde2366864368cd45"
"MoForm"	"Form"	"Form"	"It is not clear to me what is supposed to go into this attribute for process affixes (MoAffixProcess), since these do not have a form per se (and in some cases, such as reduplication, there is no form at all). One could use this for a description of the process affix, but that usage would then not parallel the usage in other subclasses."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3290, <basic id=""Form""> under <class id=""MoForm"">"	"sha256:6d477a7bcf36865f7fe859ddb283a4b18edb40fcb22fcd09eb48b31a9b65be4d"
"MoForm"	"IsAbstract"	"IsAbstract"	"This is used to indicate a lexeme form is an abstract form (e.g.,-[C][V]^2, or iN) and should not be used for parsing."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3302, <basic id=""IsAbstract""> under <class id=""MoForm"">"	"sha256:293493f8a3f2939e168a37c4c1e78d9b8a605fb655acb0a2503adec95214de7c"
"MoForm"	"MorphType"	"Morph Type"	"refers to an MoMorphType which is an item on a possibilities list. Possibilities include at least: prefix, suffix, infix, circumfix, root, bound root, and probably proclitic and enclitic. Note that most of these are appropriate for one or the other subclass, but since there is only one possibilities list, the types must be limited by procedural code. Other kinds of affixation (circumfixes, simulfixes, suprafixes etc.) are probably beyond the capabilities of Item-and-Arrangement morphology, and may therefore need to be prevented from appearing (or grayed out) with the class MoAffixAllomorph."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3296, <rel id=""MorphType""> under <class id=""MoForm"">"	"sha256:f4c8a1b18b067b1d0ba3b8e2d9984c9478641c376176e3781505ecd6c447558c"
"CmPossibility"	"Abbreviation"	"Abbreviation"	"This field stores the abbreviation of the current named list item."	"sourced"	"FieldWorks/DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"User_Interface/Field_Descriptions/Lists/Text_Chart_Temp_fields/abbreviation_field_tctemp.htm (page title: ""Abbreviation field (Text Constituents Chart Templates)""; class-generic; HelpTopicPaths.resx has 21 per-list keys for this one field (ProdRestrictEdit, confidenceEdit, statusEdit, genresEdit, ...) and no canonical one, because the field is CmPossibility's, shared by 13 descendant lists (ADR 0023 decision 2/4). All 38 Abbreviation pages under Field_Descriptions were read: every one says ""the abbreviation of the name of the current <this list's item>"", and this page is the one whose wording carries no list-specific noun)"	"sha256:e54ed8b472a8782e1f9c4ff77b63498cc4a99f84a80fdb0367ff5e7844aa63ee"
"CmPossibilityList"	"Abbreviation"	"Abbreviation"	"Set the short form of a possibility list's own name, shown wherever the list itself, rather than one of its items, is identified in a compact display."	"no-source-exists"	"none (searched)"	"Searched and not found: no <comment> on the field in MasterLCModel.xml; no ContextHelp.xml item; no HelpTopicPaths.resx key for any list; and no page under User_Interface/Field_Descriptions in the compiled help — all 38 Abbreviation pages there describe a list *item's* abbreviation, and this field is the *list's own*. The absence is itself informative: FieldWorks appears never to show this field in a dialog, so there was never a field description to write. The sentence in this row is therefore unverified prose, kept only because an emitted kind must carry some text; what is established here is that no source exists to check it against, not that it is right."	""
"FsFeatDefn"	"Abbreviation"	"Abbreviation"	"This field stores an abbreviation of the name of the feature or complex feature."	"sourced"	"FieldWorks/DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"User_Interface/Field_Descriptions/Grammar/Inflection_Features_fields/abbreviation_field_feature_features.htm (page title: ""Abbreviation field (Features)""; found-by-search; no HelpTopicPaths.resx key exists for this class; page title ""Abbreviation field (Features)"" and its own subheading ""Abbreviation field - Inflection Feature"" name the feature-definition field, matching the harvested label ""Abbreviation"" on the MorphologyParts.xml slice FsFeatDefn-Detail-AbbreviationAllA. The parallel Phonological_Features page says the same thing for the same class in the phonology tool)"	"sha256:fd819980db15fe758dfc7d8f575113970dd3cc3926aaac0b3002e77877783b32"
