"Class"	"Field"	"Card"	"ComparisonClass"	"Statement"	"MatchedTerms"	"Source"	"SourceDetail"	"SourceHash"
"CmPossibility"	"SubPossibilities"	"seq"	"positional"	""	""	""	""	""
"CmPossibilityList"	"Possibilities"	"seq"	"positional"	""	""	""	""	""
"FsFeatStrucType"	"Features"	"seq"	"positional"	"The order of features will be used in the Gloss Assistant system to put feature values in the correct glossing order. For example, the user may want the FsFeatStrucType of TAM (tense aspect modality) to be ordered Aspect, Modality and Tense."	"order ordered"	"liblcm/MasterLCModel.xml"	"line 1416, <rel id=""Features""> under <class id=""FsFeatStrucType"">"	"sha256:4f8622f7e4ce736df45302a5aba45ca3fe64c9c41ee8318b96714b54d896b2f2"
"LexEntry"	"AlternateForms"	"seq"	"feeding"	""	""	""	""	""
"LexEntry"	"DialectLabels"	"seq"	"positional"	""	""	""	""	""
"LexEntry"	"EntryRefs"	"seq"	"positional"	"One variant entry could apply to more than one main entry, so each one could have a separate LexEntryRef. Some may want to order multiple entries in a particular way, so we have a sequence instead of a collection."	"apply order sequence"	"liblcm/MasterLCModel.xml"	"line 2662, <owning id=""EntryRefs""> under <class id=""LexEntry"">"	"sha256:6d0f21c55c9060501a2d27a11b103c1dd712a07a345f0671330b92528193c689"
"LexEntry"	"Etymology"	"seq"	"positional"	""	""	""	""	""
"LexEntry"	"MainEntriesOrSenses"	"seq"	"positional"	""	""	""	""	""
"LexEntry"	"Pronunciations"	"seq"	"positional"	"Some people may want to order these based on frequency of use, so it is a sequence instead of a collection."	"order sequence"	"liblcm/MasterLCModel.xml"	"line 2647, <owning id=""Pronunciations""> under <class id=""LexEntry"">"	"sha256:4cd96d5e8dd175c5093f39e1006694b00d82150205fd4a24a2f89114d90d42f5"
"LexEntry"	"Senses"	"seq"	"positional"	""	""	""	""	""
"LexEntryRef"	"ComplexEntryTypes"	"seq"	"positional"	""	""	""	""	""
"LexEntryRef"	"ComponentLexemes"	"seq"	"positional"	"The UI limits this to a sequence of LexEntry or LexSense. For complex entries, this property lists the components for this idiom, derivation, compound, etc. All of the listed components will be displayed in the subentry following the headword."	"sequence following"	"liblcm/MasterLCModel.xml"	"line 5007, <rel id=""ComponentLexemes""> under <class id=""LexEntryRef"">"	"sha256:b913a1d2217eb56b7bf2bf0854efb358618e5d5f26baba6b895fa6831f9e1507"
"LexEntryRef"	"PrimaryLexemes"	"seq"	"positional"	"The UI limits this to a sequence of LexEntry or LexSense."	"sequence"	"liblcm/MasterLCModel.xml"	"line 5001, <rel id=""PrimaryLexemes""> under <class id=""LexEntryRef"">"	"sha256:c2e847ce70f8b7da2657f32c51d9322dc6bb467fc3c863605d01781a8795663a"
"LexEntryRef"	"ShowComplexFormsIn"	"seq"	"positional"	"The UI limits this to a sequence of LexEntry or LexSense."	"sequence"	"liblcm/MasterLCModel.xml"	"line 5029, <rel id=""ShowComplexFormsIn""> under <class id=""LexEntryRef"">"	"sha256:c2e847ce70f8b7da2657f32c51d9322dc6bb467fc3c863605d01781a8795663a"
"LexEntryRef"	"VariantEntryTypes"	"seq"	"positional"	"Entries using VariantEntryTypes will be displayed as minor entries in the dictionary; usually following the main entry headword and will typically produce a separate minor entry in the dictionary referring to the main entry. This is a sequence because some minor entries can have more than one relationship to the same main entry."	"following sequence"	"liblcm/MasterLCModel.xml"	"line 4991, <rel id=""VariantEntryTypes""> under <class id=""LexEntryRef"">"	"sha256:f30af36a2c56490a0c12694e45988a2fa5e959f7449ac2afbad5c3f9e17218b5"
"LexEtymology"	"Language"	"seq"	"positional"	""	""	""	""	""
"LexExtendedNote"	"Examples"	"seq"	"positional"	""	""	""	""	""
"LexPronunciation"	"MediaFiles"	"seq"	"positional"	""	""	""	""	""
"LexReference"	"Targets"	"seq"	"positional"	""	""	""	""	""
"LexSense"	"DialectLabels"	"seq"	"positional"	""	""	""	""	""
"LexSense"	"Examples"	"seq"	"positional"	""	""	""	""	""
"LexSense"	"ExtendedNote"	"seq"	"positional"	""	""	""	""	""
"LexSense"	"Pictures"	"seq"	"positional"	""	""	""	""	""
"LexSense"	"Senses"	"seq"	"positional"	""	""	""	""	""
"MoAffixAllomorph"	"Position"	"seq"	"positional"	"refers to an ordered seq of PhEnvironment, encoding the position relative to the stem in which this allomorph goes (for example, before the stem, after the stem, orbetween the first two consonants of the stem). Note that it would not be possible to simplify the model by eliminating this attr, and letting the position of infixation be determined by the phonological environment of the allomorph(s). An alternative to having this attr on MoAffixAllomorph would be to add a subclass of this class for infixes (as well as suprafixes and other sorts of affixes that must appear in a particular position, other than before or after the stem). This new subclass would then have the extra attribute for position. The attr is a seq (as opposed to atomic) to account for affixes whose position relative to the stem is determined by the phonology of the stem. For example, in Tagalog the in affix occurs after the first consonant of a C-initial stem, or (prefixed) before a vowel-initial stem. The alternative is to require the user to treat such an affix as having two allomorphs, one a prefix and one an infix; but this would seem to be an unnecessary burden for the user.) The attr is an ordered seq (as opposed to a collection) in order to allow disjunctive ordering. Taking the example given above, disjunctive ordering would require the following environments, stored in an ordered seq: #C__, #__ Nondisjunctive ordering would require the following environments (which could be stored in a collection): #C__, #__V Using an ordered seq does not force the parser/ generator to use the ordering, but allows for parsers which do use the order (such as Hermit Crab)."	"ordered seq position before after first order ordering following"	"liblcm/MasterLCModel.xml"	"line 3019, <rel id=""Position""> under <class id=""MoAffixAllomorph"">"	"sha256:a6b5fd05daabe46080f1a94429b68dcb139bd9b0bcd364d07089d6d27023d277"
"MoAffixProcess"	"Input"	"seq"	"positional"	"Owns an ordered seq of PhContextOrVar, describing the form of the stem to which the affix attaches. The left-to-right order of the PhContextOrVars in this attribute corresponds to the order of the portions of the input word which match. The system should check for this, and warn the user.) Given that PhContextOrVar can itself own an PhSequenceContext, the use of a seq attribute here may seem like overkill. Perhaps this numbering can be done differently, in which case the Input attribute won't need to be seq."	"ordered seq left-to-right order"	"liblcm/MasterLCModel.xml"	"line 3060, <owning id=""Input""> under <class id=""MoAffixProcess"">"	"sha256:07ee784a338591af28d31179cb54405ed96828cbf3629f0998432b3b5b64caf0"
"MoAffixProcess"	"Output"	"seq"	"positional"	"Owns an ordered seq of MoRuleMapping, describing the form output by attachment of this affix. The left-to-right order of the MoRuleMapping objects in this attribute corresponds to the order of the pieces of the output word which will be constructed by the rule."	"ordered seq left-to-right order"	"liblcm/MasterLCModel.xml"	"line 3066, <owning id=""Output""> under <class id=""MoAffixProcess"">"	"sha256:467bee9c0f80531aae9e68d8f2d13bc20593e007ba7bba4baff919015ae96fb6"
"MoAlloAdhocProhib"	"Allomorphs"	"seq"	"positional"	"refers to a seq of MoForm objects, the co-occurrence of which is ungrammatical. When the Adjacency attribute is 'Anywhere', the fact that this attribute is a seq, rather than a collection, is unimportant. But the order of allomorphs becomes important when the Adjacency attribute has any other value. Specifically, the order of the allomorphs in this attribute is interpreted as a left-to-right order."	"seq order left-to-right"	"liblcm/MasterLCModel.xml"	"line 4548, <rel id=""Allomorphs""> under <class id=""MoAlloAdhocProhib"">"	"sha256:3096d2a165e78453b51e1632d00a7b5825be0793c7abcbf6c89c74af9b799b71"
"MoAlloAdhocProhib"	"RestOfAllos"	"seq"	"positional"	""	""	""	""	""
"MoGlossItem"	"GlossItems"	"seq"	"positional"	""	""	""	""	""
"MoInflAffixTemplate"	"EncliticSlots"	"seq"	"positional"	"Refers to an ordered seq of MoInflAffixSlot, i.e. those slots which correspond to enclitics. The order is from the innermost enclitic out, i.e. left-to-right. The reason for this attribute (and for the ProcliticSlots property) is that the Slots attribute is a derivation order, i.e. the order in which the enclitics are applied during a derivation."	"ordered seq order innermost left-to-right applied"	"liblcm/MasterLCModel.xml"	"line 3413, <rel id=""EncliticSlots""> under <class id=""MoInflAffixTemplate"">"	"sha256:dfdecaf57c33be61cb4e2ad234a23339d7cd18726222f14b04604ee82fc99a69"
"MoInflAffixTemplate"	"PrefixSlots"	"seq"	"positional"	"refers to an ordered seq of MoInflAffixSlot, i.e. those slots which correspond (roughly) to prefixes. The order is from the innermost affix out, i.e. right-to-left. The reason for this attribute (and for the SuffixSlots attribute, below) is that the Slots attribute is a derivation order, i.e. the order in which the affixes are applied during a derivation; while the partition into prefix and suffix slots is for purposes of display, and to support the stealth-to-wealth concept (see discussion above, under slots). An example of such a language is Huave (Matthews 1972b), for which some slots contain both prefixes and suffixes; see also Stump's (1992) discussion of ""ambifixal position classes."""	"ordered seq order innermost right-to-left applied position"	"liblcm/MasterLCModel.xml"	"line 3378, <rel id=""PrefixSlots""> under <class id=""MoInflAffixTemplate"">"	"sha256:29ca927bbd11e614320a9986f08cee568f05651fd23e45e384cf52f028ff9256"
"MoInflAffixTemplate"	"ProcliticSlots"	"seq"	"positional"	"Refers to an ordered seq of MoInflAffixSlot, i.e. those slots which correspond to proclitics. The order is from the innermost proclitic out, i.e. right-to-left. The reason for this attribute (and for the EncliticSlots property) is that the Slots attribute is a derivation order, i.e. the order in which the proclitics are applied during a derivation."	"ordered seq order innermost right-to-left applied"	"liblcm/MasterLCModel.xml"	"line 3407, <rel id=""ProcliticSlots""> under <class id=""MoInflAffixTemplate"">"	"sha256:a3870930d83a767dbf2db26c46e4f824b3490cba8291fd4b7efd5b17384dca21"
